Planet,Mass,sigM,Radius,sigR,FeMg,sigFeMg,SiMg,sigSiMg,Period
K2-229b,2.49,0.425,1.197,0.0465,0.78,0.19,1.1,0.24,0.58
HD 219134 c,3.96,0.34,1.415,0.049,0.69,0.25,0.98,0.39,6.76458
Kepler-10b,3.57,0.52,1.489,0.022,0.62,0.14,0.83,0.16,0.84
HD 219134 b,4.27,0.34,1.5,0.057,0.69,0.25,0.98,0.39,3.09
Kepler-107 c,9.39,1.77,1.597,0.026,0.75,0.22,0.96,0.23,4.9
HD 15337 b,7.2,0.81,1.699,0.0605,0.69,0.2,0.87,0.19,4.76
K2-265 b,6.54,0.84,1.71,0.11,0.84,0.24,0.92,0.24,2.37
HD 213885 b,8.83,0.655,1.745,0.0525,0.81,0.23,0.98,0.31,1.008
WASP-47e,6.91,0.82,1.773,0.0485,0.76,0.22,1.35,0.36,0.79
Kepler-20 b,9.7,1.425,1.868,0.05,0.71,0.27,0.9,0.41,3.7
55 Cnc e,7.74,0.335,1.897,0.045,0.76,0.32,0.87,0.34,0.736539
